id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS
1,1,Flensburg - Schleswig,160526,68235,59718,0,3039,7436,12491,9607
2,1,Nordfriesland - Dithmarschen Nord,129879,64678,41714,0,3172,4653,8465,7197
3,1,Steinburg - Dithmarschen Süd,124886,56669,42476,0,6324,4909,6386,8122
4,1,Rendsburg-Eckernförde,147840,66775,54397,0,2754,4902,10306,8706
5,1,Kiel,144778,47925,62271,0,3069,7622,14435,9456
6,1,Plön - Neumünster,125412,54833,47085,0,2322,4708,7979,8485
7,1,Pinneberg,177352,80483,64006,0,3303,6985,11324,11251
8,1,Segeberg - Stormarn-Mitte,181515,82471,63998,0,3722,7003,11141,13180
9,1,Ostholstein - Stormarn-Nord,130388,59783,48349,0,2962,4469,7145,7680
10,1,Herzogtum Lauenburg - Stormarn-Süd,181274,81954,62749,0,3901,6834,12774,13062
11,1,Lübeck,123148,44896,50119,0,2958,6662,9475,9038
18,2,Hamburg-Mitte,166020,46753,64997,0,2878,15693,19943,15756
19,2,Hamburg-Altona,134403,43609,46918,0,2627,13759,18380,9110
20,2,Hamburg-Eimsbüttel,141438,47112,53105,0,3264,9728,18399,9830
21,2,Hamburg-Nord,162284,64459,56421,0,3921,7626,19343,10514
22,2,Hamburg-Wandsbek,145193,54002,58029,0,2783,9594,9320,11465
23,2,Hamburg-Bergedorf - Harburg,140615,50044,56867,0,2234,10595,9088,11787
24,3,Aurich - Emden,132039,42737,66348,0,2085,6373,12627,1869
25,3,Unterems,164863,90236,51409,0,4288,6426,8441,4063
26,3,Friesland - Wilhelmshaven - Wittmund,131793,52275,58178,0,3024,6736,7362,4218
27,3,Oldenburg - Ammerland,161795,59525,60547,0,3966,8794,18552,10411
28,3,Delmenhorst - Wesermarsch - Oldenburg-Land,160639,63832,63256,0,5263,7273,9784,11231
29,3,Cuxhaven - Stade II,135661,63431,49395,0,1872,4904,8326,7733
30,3,Stade I - Rotenburg II,143970,68545,49111,0,2505,4878,9099,9832
