id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
1,1,Flensburg - Schleswig,160526,68235,59718,0,3039,7436,12491,9607,42.507132800916985,37.20145023236111,0,1.893151265215604,4.632271407747032,7.7812939959881895,5.984700297771077,CDU_CSU,42.507132800916985,SPD,37.20145023236111
2,1,Nordfriesland - Dithmarschen Nord,129879,64678,41714,0,3172,4653,8465,7197,49.79865875160726,32.11758636885101,0,2.442273192740936,3.5825653107892728,6.51760484758891,5.541311528422608,CDU_CSU,49.79865875160726,SPD,32.11758636885101
3,1,Steinburg - Dithmarschen Süd,124886,56669,42476,0,6324,4909,6386,8122,45.37658344410102,34.0118187787262,0,5.063818202200407,3.9307848758067356,5.113463478692568,6.5035312204730715,CDU_CSU,45.37658344410102,SPD,34.0118187787262
4,1,Rendsburg-Eckernförde,147840,66775,54397,0,2754,4902,10306,8706,45.16707251082251,36.79450757575757,0,1.8628246753246753,3.3157467532467533,6.971049783549783,5.888798701298701,CDU_CSU,45.16707251082251,SPD,36.79450757575757
5,1,Kiel,144778,47925,62271,0,3069,7622,14435,9456,33.1024050615425,43.011369130669024,0,2.119797206757933,5.2646120266891385,9.970437497409828,6.531379076931578,SPD,43.011369130669024,CDU_CSU,33.1024050615425
6,1,Plön - Neumünster,125412,54833,47085,0,2322,4708,7979,8485,43.72229132778362,37.54425413835997,0,1.8514974643574778,3.754026727904826,6.362230089624597,6.765700251969509,CDU_CSU,43.72229132778362,SPD,37.54425413835997
7,1,Pinneberg,177352,80483,64006,0,3303,6985,11324,11251,45.38037349451937,36.089810095177945,0,1.8623979430736615,3.938495195994406,6.385042176011548,6.34388109522306,CDU_CSU,45.38037349451937,SPD,36.089810095177945
8,1,Segeberg - Stormarn-Mitte,181515,82471,63998,0,3722,7003,11141,13180,45.434812549927,35.25769220174641,0,2.050519240834091,3.858083353992783,6.137784756080765,7.261107897418946,CDU_CSU,45.434812549927,SPD,35.25769220174641
9,1,Ostholstein - Stormarn-Nord,130388,59783,48349,0,2962,4469,7145,7680,45.8500782280578,37.08086633739301,0,2.2716814430775836,3.427462649937111,5.479798754486609,5.890112587047888,CDU_CSU,45.8500782280578,SPD,37.08086633739301
10,1,Herzogtum Lauenburg - Stormarn-Süd,181274,81954,62749,0,3901,6834,12774,13062,45.21001357061686,34.615554354182066,0,2.151990908790008,3.769983560797467,7.0467910455994796,7.205666560014122,CDU_CSU,45.21001357061686,SPD,34.615554354182066
11,1,Lübeck,123148,44896,50119,0,2958,6662,9475,9038,36.45694611361939,40.698184298567575,0,2.4019878520154614,5.409750868873226,7.69399421833891,7.339136648585443,SPD,40.698184298567575,CDU_CSU,36.45694611361939
