id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
1,1,Flensburg - Schleswig,159212,61793,52139,0,15292,11918,16399,1671,38.81177298193603,32.7481596864558,0,9.604803658015728,7.485616662060648,10.300103007311007,1.0495440042207875,CDU_CSU,38.81177298193603,SPD,32.7481596864558
2,1,Nordfriesland - Dithmarschen Nord,131289,56751,36642,0,15184,8208,12840,1664,43.22601284189841,27.90942120055755,0,11.565325350943338,6.251856591184334,9.7799511002445,1.2674329151718728,CDU_CSU,43.22601284189841,SPD,27.90942120055755
3,1,Steinburg - Dithmarschen Süd,124972,49779,37277,0,16037,8896,10665,2318,39.832122395416576,29.828281535063855,0,12.83247447428224,7.118394520372563,8.533911596197548,1.8548154786672215,CDU_CSU,39.832122395416576,SPD,29.828281535063855
4,1,Rendsburg-Eckernförde,146614,58876,47610,0,14317,8729,14790,2292,40.15714733927183,32.473024404217874,0,9.765097466817629,5.953728838992184,10.087713315235925,1.563288635464553,CDU_CSU,40.15714733927183,SPD,32.473024404217874
5,1,Kiel,142041,42733,54398,0,12188,11817,18699,2206,30.084975464830578,38.297393006244675,0,8.580621088277328,8.31942889729022,13.164508838997191,1.5530727043600085,SPD,38.297393006244675,CDU_CSU,30.084975464830578
6,1,Plön - Neumünster,124679,48136,41683,0,12515,7871,12187,2287,38.60794520328203,33.432254028344786,0,10.037777011365186,6.313011814339223,9.774701433280665,1.8343105093881085,CDU_CSU,38.60794520328203,SPD,33.432254028344786
7,1,Pinneberg,172804,70458,54950,0,17018,11794,16143,2441,40.773361727737786,31.799032429804864,0,9.848151663155944,6.8250734936691275,9.341797643573067,1.4125830420592116,CDU_CSU,40.773361727737786,SPD,31.799032429804864
8,1,Segeberg - Stormarn-Nord,176621,70290,54065,0,20084,12527,16633,3022,39.79707962246845,30.610742776906484,0,11.371241245378522,7.092588084089662,9.417339953912615,1.7110083172442687,CDU_CSU,39.79707962246845,SPD,30.610742776906484
9,1,Ostholstein,127874,49363,43765,0,14397,8235,10411,1703,38.602843423995495,34.22509657944539,0,11.258739071273284,6.439933059105056,8.141608145518244,1.3317797206625273,CDU_CSU,38.602843423995495,SPD,34.22509657944539
10,1,Herzogtum Lauenburg - Stormarn-Süd,177684,70874,53073,0,19742,12351,18761,2883,39.88766574367979,29.869318565543324,0,11.11073591319421,6.95110420746944,10.558632178474145,1.6225433916390894,CDU_CSU,39.88766574367979,SPD,29.869318565543324
11,1,Lübeck,121100,36745,44393,0,13296,10973,14098,1595,30.342691990090838,36.65813377374071,0,10.979355904211396,9.061106523534269,11.641618497109826,1.3170933113129646,SPD,36.65813377374071,CDU_CSU,30.342691990090838
12,13,Wismar - Nordwestmecklenburg - Parchim,134475,45383,27590,0,9969,40419,6520,4594,33.74828034950734,20.51682468860383,0,7.413273842721696,30.056887897378694,4.848484848484849,3.4162483733035884,CDU_CSU,33.74828034950734,LINKE,30.056887897378694
13,13,Schwerin - Ludwigslust,118260,34633,30247,0,9401,33681,6353,3945,29.28547268729917,25.576695416878064,0,7.9494334517165575,28.480466768138,5.372061559276172,3.335870116692034,CDU_CSU,29.28547268729917,LINKE,28.480466768138
14,13,Rostock,128502,34517,25389,0,8517,41539,13727,4813,26.861060528240806,19.757669141336322,0,6.627912406032591,32.32556691724643,10.682324010521237,3.7454669966226204,LINKE,32.32556691724643,CDU_CSU,26.861060528240806
15,13,Stralsund - Nordvorpommern - Rügen,117306,57865,14040,0,5668,30935,3735,5063,49.32825260429986,11.968697253337425,0,4.831807409680664,26.371200109116327,3.183980359060917,4.3160622645048,CDU_CSU,49.32825260429986,LINKE,26.371200109116327
16,13,Greifswald - Demmin - Ostvorpommern,121364,46147,15995,0,10414,35385,5736,7687,38.0236313898685,13.179361260340794,0,8.580798259780495,29.1560924162025,4.726277973698955,6.333838700108764,CDU_CSU,38.0236313898685,LINKE,29.1560924162025
17,13,Bad Doberan - Güstrow - Müritz,130262,45176,28457,0,9485,35601,6255,5288,34.6808739310006,21.845971964195236,0,7.281478865670725,27.330303542092093,4.801860865025871,4.0595108320154765,CDU_CSU,34.6808739310006,LINKE,27.330303542092093
18,13,Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow,115540,38102,19696,0,8015,37851,4500,7376,32.97732387052103,17.04691016098321,0,6.936991518088973,32.76008308810802,3.8947550631815817,6.383936299117189,CDU_CSU,32.97732387052103,LINKE,32.76008308810802
19,2,Hamburg-Mitte,164493,43587,56809,0,12818,21718,27213,2348,26.497784100235265,34.5358161137556,0,7.792428857155016,13.202993440450353,16.543561124181576,1.4274163642221858,SPD,34.5358161137556,CDU_CSU,26.497784100235265
20,2,Hamburg-Altona,129155,38969,46522,0,10517,12605,17799,2743,30.172273624714492,36.02028570322481,0,8.142929038751888,9.759591188881576,13.781115713677364,2.123804730749874,SPD,36.02028570322481,CDU_CSU,30.172273624714492
21,2,Hamburg-Eimsbüttel,140132,43714,33364,0,11732,12540,36518,2264,31.194873405075214,23.808980104472926,0,8.372106299774499,8.948705506236978,26.05971512573859,1.6156195587017954,CDU_CSU,31.194873405075214,GRÜNE,26.05971512573859
22,2,Hamburg-Nord,161191,61873,53469,0,12766,10805,21268,1010,38.384897419831134,33.1712068291654,0,7.919797010999373,6.703227847708619,13.19428504072808,0.6265858515673952,CDU_CSU,38.384897419831134,SPD,33.1712068291654
23,2,Hamburg-Wandsbek,147923,53958,51460,0,11408,14021,13914,3162,36.47708605152681,34.78836962473719,0,7.712120495122463,9.47858007206452,9.406245141053116,2.1375986154959,CDU_CSU,36.47708605152681,SPD,34.78836962473719
24,2,Hamburg-Bergedorf - Harburg,140764,46303,54965,0,10727,14430,11728,2611,32.8940638231366,39.0476258134182,0,7.620556392259384,10.251200591060213,8.331675712540138,1.8548776675854621,SPD,39.0476258134182,CDU_CSU,32.8940638231366
25,3,Aurich - Emden,130446,33706,57876,0,9314,13213,14451,1886,25.839044508838903,44.367784370544136,0,7.140119283074989,10.129095564448125,11.078147279333978,1.44580899375987,SPD,44.367784370544136,CDU_CSU,25.839044508838903
26,3,Unterems,162261,73405,47481,0,15470,12062,11981,1862,45.23884359149765,29.26211474106532,0,9.534022346713012,7.433702491664664,7.383782917645029,1.1475339114143264,CDU_CSU,45.23884359149765,SPD,29.26211474106532
27,3,Friesland - Wilhelmshaven,130105,42211,51851,0,12283,12055,9794,1911,32.44379539602629,39.853195495945585,0,9.440836247646132,9.265593174743476,7.527766035125476,1.4688136505130471,SPD,39.853195495945585,CDU_CSU,32.44379539602629
28,3,Oldenburg - Ammerland,156456,55610,49020,0,13840,14080,21651,2255,35.54353939765812,31.331492560208623,0,8.845937515978934,8.999335276371632,13.838395459426293,1.441299790356394,CDU_CSU,35.54353939765812,SPD,31.331492560208623
29,3,Delmenhorst - Wesermarsch - Oldenburg-Land,159614,56273,55374,0,16163,13751,14446,3607,35.255679326374874,34.69244552482865,0,10.126304710113148,8.615159071259413,9.050584535191149,2.2598268322327613,CDU_CSU,35.255679326374874,SPD,34.69244552482865
30,3,Cuxhaven - Stade II,133922,51654,50481,0,10426,10307,8379,2675,38.57021251176057,37.694329535102526,0,7.785128656979436,7.6962709636952855,6.256626991831066,1.9974313406311137,CDU_CSU,38.57021251176057,SPD,37.694329535102526
31,3,Stade I - Rotenburg II,140424,62035,46851,0,9946,9096,9409,3087,44.1769213239902,33.36395487950778,0,7.082834843046773,6.47752520936592,6.700421580356634,2.198342163732695,CDU_CSU,44.1769213239902,SPD,33.36395487950778
32,3,Mittelems,167303,91378,43503,0,13278,8195,9819,1130,54.61826745485735,26.002522369592896,0,7.936498448922016,4.8982982971016655,5.868992187826877,0.6754212416991925,CDU_CSU,54.61826745485735,SPD,26.002522369592896
33,3,Cloppenburg - Vechta,147227,91686,28053,0,12700,6927,6575,1286,62.275262010364955,19.05424956020295,0,8.626135151840355,4.704979385574657,4.465892804988216,0.8734810870288737,CDU_CSU,62.275262010364955,SPD,19.05424956020295
34,3,Diepholz - Nienburg I,140192,52599,48313,0,15928,9775,11917,1660,37.51925930152933,34.46202351061402,0,11.361561287377311,6.972580461081945,8.500485049075554,1.1840903903218443,CDU_CSU,37.51925930152933,SPD,34.46202351061402
