id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS
1,1,Flensburg – Schleswig,178571,41721,38932,9766,12298,6539,50231,19084
2,1,Nordfriesland – Dithmarschen Nord,144091,43771,40034,8270,13963,4059,20615,13379
3,1,Steinburg – Dithmarschen Süd,134951,39434,39364,10429,19303,4339,16685,5397
4,1,Rendsburg-Eckernförde,160658,47697,49477,10197,12900,4415,23831,12141
5,1,Kiel,155030,28341,45767,7179,11499,7316,43560,11368
6,1,Plön – Neumünster,131961,36869,41498,9404,12420,3718,20739,7313
7,1,Pinneberg,187503,48888,58644,11934,20464,5602,31750,10221
8,1,Segeberg – Stormarn-Mitte,197912,55264,63369,14039,20575,6205,27109,11351
9,1,Ostholstein – Stormarn-Nord,141793,42989,47718,9646,13288,4122,19027,5003
10,1,Herzogtum Lauenburg – Stormarn-Süd,195291,51838,60592,14053,20546,5167,33953,9142
11,1,Lübeck,117356,24960,40376,7551,8341,3709,25882,6537
12,13,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,153387,31721,45107,25380,11755,17877,12034,9513
13,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,144017,26209,50705,24760,10322,14949,8163,8909
14,13,Rostock – Landkreis Rostock II,163019,27666,43935,19885,12242,29714,16556,13021
15,13,Vorpommern-Rügen – Vorpommern-Greifswald I,166161,33898,40426,33034,11015,22767,12197,12824
16,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,150674,31182,37395,36599,11168,16200,6112,12018
17,13,Mecklenburgische Seenplatte II – Landkreis Rostock III,140651,29949,43740,30346,9824,14498,7585,4709
18,2,Hamburg-Mitte,178025,23241,59162,8694,14352,16168,46288,10120
19,2,Hamburg-Altona,151837,25516,43458,5221,12409,14656,44897,5680
20,2,Hamburg-Eimsbüttel,160051,27436,47366,5447,12961,11360,47778,7703
21,2,Hamburg-Nord,184010,43833,56540,6259,15783,9073,47288,5234
22,2,Hamburg-Wandsbek,172295,33081,66594,11483,15714,10669,26597,8157
23,2,Hamburg-Bergedorf – Harburg,156760,26514,61666,12779,13343,10501,24221,7736
24,3,Aurich – Emden,135413,24013,71495,NA,11784,4849,12649,NA
25,3,Unterems,173746,77143,49440,13584,10763,4358,16434,2024
26,3,Friesland – Wilhelmshaven – Wittmund,132976,29286,60392,10227,9502,3460,13504,6605
27,3,Oldenburg – Ammerland,172313,34291,65757,8571,12858,10180,35115,5541
28,3,Delmenhorst – Wesermarsch – Oldenburg-Land,161932,40396,59361,11996,17275,4931,21200,6773
29,3,Cuxhaven – Stade II,139671,42085,51417,10227,9622,2694,15388,8238
30,3,Stade I – Rotenburg II,150617,52063,47757,10732,12018,4339,19925,3783
31,3,Mittelems,179203,72515,52310,8992,17466,3996,22561,1363
32,3,Cloppenburg – Vechta,163485,80133,34126,12673,14397,3542,17366,1248
33,3,Diepholz – Nienburg I,145486,49112,46453,9683,13671,4029,19702,2836
34,3,Osterholz – Verden,149305,50250,48548,NA,13754,6372,21922,NA
35,3,Rotenburg I – Heidekreis,124156,32716,59127,9181,7353,3010,10035,2734
36,3,Harburg,160509,46710,49771,11007,14395,4230,24120,10276
37,3,Lüchow-Dannenberg – Lüneburg,137647,34293,38780,8598,9516,5379,34605,6476
38,3,Osnabrück-Land,150580,54536,44707,9416,13003,3596,22011,3311
39,3,Stadt Osnabrück,148194,43318,44875,6694,10089,6977,34136,2105
40,3,Nienburg II – Schaumburg,141638,43818,50014,11693,8804,3070,18096,6143
41,3,Stadt Hannover I,127711,27286,44570,7539,9573,4660,27860,6223
42,3,Stadt Hannover II,142517,26196,46930,6475,9543,7390,37779,8204
43,3,Hannover-Land I,173109,55183,58295,12942,12557,3981,22487,7664
44,3,Celle – Uelzen,156618,51497,50631,14496,13413,4358,18770,3453
45,3,Gifhorn – Peine,165026,40280,72114,15346,10739,3619,15761,7167
46,3,Hameln-Pyrmont – Holzminden,131548,33575,56893,11208,9102,3676,13259,3835
47,3,Hannover-Land II,179547,45721,73087,13377,11883,4095,22284,9100
48,3,Hildesheim,160007,41282,61804,11386,11507,5481,22973,5574
49,3,Salzgitter – Wolfenbüttel,145384,39528,56137,14329,9545,5676,15349,4820
50,3,Braunschweig,139551,31272,51223,8045,9816,5352,28214,5629
