id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS
1,1,Flensburg - Schleswig,159212,61793,52139,0,15292,11918,16399,1671
2,1,Nordfriesland - Dithmarschen Nord,131289,56751,36642,0,15184,8208,12840,1664
3,1,Steinburg - Dithmarschen Süd,124972,49779,37277,0,16037,8896,10665,2318
4,1,Rendsburg-Eckernförde,146614,58876,47610,0,14317,8729,14790,2292
5,1,Kiel,142041,42733,54398,0,12188,11817,18699,2206
6,1,Plön - Neumünster,124679,48136,41683,0,12515,7871,12187,2287
7,1,Pinneberg,172804,70458,54950,0,17018,11794,16143,2441
8,1,Segeberg - Stormarn-Nord,176621,70290,54065,0,20084,12527,16633,3022
9,1,Ostholstein,127874,49363,43765,0,14397,8235,10411,1703
10,1,Herzogtum Lauenburg - Stormarn-Süd,177684,70874,53073,0,19742,12351,18761,2883
11,1,Lübeck,121100,36745,44393,0,13296,10973,14098,1595
12,13,Wismar - Nordwestmecklenburg - Parchim,134475,45383,27590,0,9969,40419,6520,4594
13,13,Schwerin - Ludwigslust,118260,34633,30247,0,9401,33681,6353,3945
14,13,Rostock,128502,34517,25389,0,8517,41539,13727,4813
15,13,Stralsund - Nordvorpommern - Rügen,117306,57865,14040,0,5668,30935,3735,5063
16,13,Greifswald - Demmin - Ostvorpommern,121364,46147,15995,0,10414,35385,5736,7687
17,13,Bad Doberan - Güstrow - Müritz,130262,45176,28457,0,9485,35601,6255,5288
18,13,Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow,115540,38102,19696,0,8015,37851,4500,7376
19,2,Hamburg-Mitte,164493,43587,56809,0,12818,21718,27213,2348
20,2,Hamburg-Altona,129155,38969,46522,0,10517,12605,17799,2743
21,2,Hamburg-Eimsbüttel,140132,43714,33364,0,11732,12540,36518,2264
22,2,Hamburg-Nord,161191,61873,53469,0,12766,10805,21268,1010
23,2,Hamburg-Wandsbek,147923,53958,51460,0,11408,14021,13914,3162
24,2,Hamburg-Bergedorf - Harburg,140764,46303,54965,0,10727,14430,11728,2611
25,3,Aurich - Emden,130446,33706,57876,0,9314,13213,14451,1886
26,3,Unterems,162261,73405,47481,0,15470,12062,11981,1862
27,3,Friesland - Wilhelmshaven,130105,42211,51851,0,12283,12055,9794,1911
28,3,Oldenburg - Ammerland,156456,55610,49020,0,13840,14080,21651,2255
29,3,Delmenhorst - Wesermarsch - Oldenburg-Land,159614,56273,55374,0,16163,13751,14446,3607
30,3,Cuxhaven - Stade II,133922,51654,50481,0,10426,10307,8379,2675
31,3,Stade I - Rotenburg II,140424,62035,46851,0,9946,9096,9409,3087
32,3,Mittelems,167303,91378,43503,0,13278,8195,9819,1130
33,3,Cloppenburg - Vechta,147227,91686,28053,0,12700,6927,6575,1286
34,3,Diepholz - Nienburg I,140192,52599,48313,0,15928,9775,11917,1660
35,3,Osterholz - Verden,143241,53080,52397,0,10787,12242,12318,2417
36,3,Rotenburg I - Soltau-Fallingbostel,120239,48344,42395,0,9895,8366,9101,2138
37,3,Harburg,146942,59657,45002,0,15812,9611,13772,3088
38,3,Lüchow-Dannenberg - Lüneburg,129771,43229,40411,0,11242,11935,19645,3309
39,3,Osnabrück-Land,142924,63175,46028,0,12940,9006,10393,1382
40,3,Stadt Osnabrück,142127,54522,46979,0,14823,9918,14282,1603
41,3,Nienburg II - Schaumburg,141692,52714,58649,0,8712,8797,10217,2603
42,3,Stadt Hannover I,129813,42621,50592,0,9699,10624,13364,2913
43,3,Stadt Hannover II,138932,44534,55068,0,8657,12886,15797,1990
44,3,Hannover-Land I,173506,66311,67178,0,14560,11173,11642,2642
45,3,Celle - Uelzen,155146,68572,50107,0,11351,10130,10801,4185
46,3,Gifhorn - Peine,159005,58827,64365,0,10073,11663,9476,4601
47,3,Hameln-Pyrmont - Holzminden,140982,49787,55842,0,10401,11820,10849,2283
48,3,Hannover-Land II,181056,65573,73215,0,12982,11976,12533,4777
49,3,Hildesheim,165319,60376,64555,0,10231,11402,14856,3899
50,3,Salzgitter - Wolfenbüttel,155110,50519,69631,0,9436,12538,9032,3954
51,3,Braunschweig,138212,47584,53572,0,7507,10801,12012,6736
52,3,Helmstedt - Wolfsburg,133065,52427,46064,0,8480,10216,10692,5186
53,3,Goslar - Northeim - Osterode,153583,54451,60107,0,12719,14083,9624,2599
54,3,Göttingen,164288,56503,60483,0,10765,12493,21360,2684
55,4,Bremen I,185632,53255,62588,0,13587,21226,31564,3412
56,4,Bremen II - Bremerhaven,152147,39186,58879,0,10850,21647,16985,4600
57,12,Prignitz - Ostprignitz-Ruppin - Havelland I,104540,22851,33532,0,8162,32198,4483,3314
58,12,Uckermark - Barnim I,102484,26512,27674,0,6396,32791,4385,4726
59,12,Oberhavel - Havelland II,166607,46088,48621,0,12963,40334,12193,6408
60,12,Märkisch-Oderland - Barnim II,169038,39863,38441,0,11115,62523,8181,8915
61,12,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,124675,30733,40957,0,7328,35484,4771,5402
62,12,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,169839,40708,48720,0,12356,48515,16479,3061
63,12,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,164606,40882,53384,0,11959,43348,9041,5992
64,12,Frankfurt (Oder) - Oder-Spree,134767,30153,38470,0,10125,43589,7502,4928
65,12,Cottbus - Spree-Neiße,123961,29829,34529,0,10878,37224,5650,5851
66,12,Elbe-Elster - Oberspreewald-Lausitz II,121448,35073,32688,0,8487,34324,3861,7015
67,15,Altmark,110428,34501,22070,0,6558,36910,3725,6664
68,15,Börde - Jerichower Land,142854,46686,31994,0,13914,41040,5041,4179
69,15,Harz,141205,46632,28732,0,10236,43952,7791,3862
70,15,Magdeburg,150016,46481,32844,0,9890,48069,8637,4095
71,15,Dessau - Wittenberg,120584,43424,22187,0,8810,36809,5004,4350
72,15,Anhalt,139686,43722,30401,0,10929,44087,4878,5669
73,15,Halle,137323,42430,22341,0,11760,46272,11056,3464
74,15,Burgenland - Saalekreis,124968,41281,23592,0,11224,39610,3950,5311
75,15,Mansfeld,133713,43014,23028,0,10818,47051,5465,4337
76,11,Berlin-Mitte,130606,28760,33943,0,8869,24871,28108,6055
77,11,Berlin-Pankow,163263,28374,44769,0,9604,47070,26674,6772
78,11,Berlin-Reinickendorf,129493,50554,35540,0,13711,10525,13875,5288
79,11,Berlin-Spandau - Charlottenburg Nord,123701,44994,41051,0,10612,11446,10853,4745
80,11,Berlin-Steglitz - Zehlendorf,170185,66075,45691,0,15138,9325,27392,6564
81,11,Berlin-Charlottenburg - Wilmersdorf,147733,44549,47340,0,16397,9978,26778,2691
82,11,Berlin-Tempelhof - Schöneberg,169395,54971,38244,0,13292,13787,44506,4595
83,11,Berlin-Neukölln,128698,39618,35168,0,11468,15852,18805,7787
84,11,Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg Ost,158289,18394,26415,0,6425,27796,73897,5362
85,11,Berlin-Treptow - Köpenick,140512,29124,25520,0,6247,62880,10495,6246
86,11,Berlin-Marzahn - Hellersdorf,126401,24563,20336,0,6969,60236,7242,7055
87,11,Berlin-Lichtenberg,130483,22566,24028,0,5048,61874,9652,7315
88,5,Aachen,128629,50703,38523,0,11554,9520,17241,1088
89,5,Kreis Aachen,158050,63511,54205,0,13275,13502,11056,2501
90,5,Heinsberg,129352,65143,31111,0,12342,9859,8933,1964
91,5,Düren,141611,65662,43655,0,10745,10079,8956,2514
92,5,Erftkreis I,177440,69845,63487,0,18620,11215,11195,3078
93,5,Euskirchen - Erftkreis II,172648,75290,50035,0,20620,11679,12239,2785
94,5,Köln I,125293,42094,43837,0,10902,10614,15557,2289
95,5,Köln II,171212,59710,55471,0,18455,9550,26614,1412
96,5,Köln III,132633,38093,47625,0,11187,11390,22550,1788
97,5,Bonn,165676,51674,55251,0,31606,8381,16856,1908
98,5,Rhein-Sieg-Kreis I,164831,73959,42568,0,18727,10523,15389,3665
99,5,Rhein-Sieg-Kreis II,159752,80363,39489,0,16012,7430,14046,2412
100,5,Oberbergischer Kreis,148220,71759,41165,0,12990,9599,10066,2641
101,5,Rheinisch-Bergischer Kreis,165071,82523,43992,0,14198,8561,13745,2052
102,5,Leverkusen - Köln IV,144416,51242,53517,0,11332,11723,13386,3216
103,5,Wuppertal I,142988,49021,51180,0,11852,15003,13308,2624
104,5,Solingen - Remscheid - Wuppertal II,160035,62365,54910,0,13940,13418,12956,2446
105,5,Mettmann I,149006,66300,50319,0,11674,8412,10611,1690
106,5,Mettmann II,121149,48276,43173,0,11332,8418,8447,1503
107,5,Düsseldorf I,158014,68749,45125,0,16472,10266,15894,1508
108,5,Düsseldorf II,133133,50233,44295,0,10758,12948,13137,1762
109,5,Neuss I,147976,70787,43614,0,12763,8709,9935,2168
110,5,Mönchengladbach,122416,55784,33852,0,11573,9233,10162,1812
111,5,Krefeld I - Neuss II,148036,62639,43087,0,18168,8641,12043,3458
112,5,Viersen,162376,79359,41691,0,15755,11102,12633,1836
113,5,Kleve,156325,76480,46290,0,14620,8787,10148,0
114,5,Wesel I,149521,57576,57225,0,10624,11071,9873,3152
115,5,Krefeld II - Wesel II,127920,44906,50636,0,11098,10123,9462,1695
116,5,Duisburg I,126489,40001,53363,0,7501,13237,9791,2596
117,5,Duisburg II,93845,24779,44436,0,5189,10519,5430,3492
118,5,Oberhausen - Wesel III,146126,40001,65189,0,9231,14008,14772,2925
119,5,Mülheim - Essen I,138936,44653,57547,0,11852,12143,10801,1940
120,5,Essen II,106416,28968,49023,0,6967,11065,7352,3041
121,5,Essen III,147690,53269,57055,0,11035,10240,13969,2122
122,5,Recklinghausen I,122190,37504,52627,0,9090,12781,7846,2342
123,5,Recklinghausen II,138551,44021,58984,0,10678,13805,8603,2460
124,5,Gelsenkirchen,119021,31011,64623,0,8344,NA,9013,NA
125,5,Steinfurt I - Borken I,141698,63123,42736,0,17533,8306,8774,1226
126,5,Bottrop - Recklinghausen III,146719,48290,62810,0,9710,13765,8372,3772
127,5,Borken II,146234,79254,37324,0,12521,6385,9706,1044
128,5,Coesfeld - Steinfurt II,144997,73636,37851,0,14229,7634,10674,973
129,5,Steinfurt III,141940,61444,58679,0,11613,9075,NA,NA
130,5,Münster,162559,63819,53029,0,16131,7805,20822,953
131,5,Warendorf,153521,75187,49996,0,16333,12005,NA,NA
132,5,Gütersloh,165709,74149,53509,0,15138,9909,11924,1080
133,5,Bielefeld,178093,64621,61405,0,10852,14056,24981,2178
